Serial number;ASIN;Title;Brand;Price;Rating;Reviews
255;B0Y2C6E1H4;"Dell Inspiron 15, Ryzen 7, 16GB";Dell;$799.99;3.9;67
256;B0Z3D7F2I5;"HP Pavilion 14, i5, 8GB, 256GB";HP;$599.99;3.4;45
257;B0A4E8G3J6;"Lenovo Yoga 7i, 16"", i7, 16GB";Lenovo;$999.99;4.1;34
258;B0B5F9H4K7;"ASUS ZenBook 14, Ryzen 7, 16GB";ASUS;$1,099.99;4.3;56
259;B0C6G1I5L8;"Acer Swift 3X, i7, 16GB, 1TB";Acer;$1,149.99;4.2;23
260;B0D7H2J6M9;"Samsung Galaxy Book Pro, 15.6""";Samsung;$1,299.99;4.3;78
261;B0E8I3K7N1;"HP Spectre x360 13.5, i7, 32GB";HP;$1,699.99;4.6;67
262;B0F9J4L8O2;"Dell XPS 13 Plus, i7, 32GB, 4K";Dell;$1,899.99;4.8;45
263;B0G1K5M9P3;"MSI Prestige 13, i7, 16GB, 1TB";MSI;$1,399.99;4.2;12
264;B0H2L6N1Q4;"Lenovo ThinkPad P14s, i7, 32GB";Lenovo;$1,699.99;4.5;34
265;B0I3M7O2R5;"ASUS ProArt StudioBook 16, i9, RTX 4090";ASUS;$3,199.99;4.9;23
266;B0J4N8P3S6;"Acer ConceptD 5, i7, RTX 3070, 32GB";Acer;$1,899.99;4.4;56
267;B0K5O9Q4T7;"HP ZBook Power G9, i7, RTX A2000";HP;$1,999.99;4.6;12
268;B0L6P1R5U8;"Dell Precision 3571, i5, 16GB";Dell;$1,399.99;4.1;34
269;B0M7Q2S6V9;"Lenovo Legion 5i, i7, RTX 4070, 32GB";Lenovo;$1,799.99;4.6;45
270;B0N8R3T7W1;"MSI Stealth 16, i9, RTX 4090, 64GB";MSI;$3,499.99;4.9;12
271;B0O9S4U8X2;"ASUS ROG Strix Scar 16, i9, RTX 4090";ASUS;$3,299.99;4.9;34
272;B0P1T5V9Y3;"Acer Predator Helios Neo 18, i9, RTX 4080";Acer;$2,599.99;4.7;23
273;B0Q2U6W1Z4;"HP OMEN Transcend 14, i7, RTX 4060";HP;$1,599.99;4.3;56
274;B0R3V7X2A5;"Dell Alienware m16, i9, RTX 4090";Dell;$2,999.99;4.9;78
275;B0S4W8Y3B6;"Lenovo ThinkPad X1 Extreme Gen 5, i9";Lenovo;$2,699.99;4.8;12
276;B0T5X9Z4C7;"MSI Creator M16, i7, RTX 4070, 32GB";MSI;$2,199.99;4.6;34
277;B0U6Y1A5D8;"ASUS VivoBook Pro 14X, i9, RTX 4070";ASUS;$1,999.99;4.5;45
278;B0V7Z2B6E9;"Acer Swift Go 16, i7, 16GB, 1TB";Acer;$1,099.99;4.2;56
279;B0W8A3C7F1;"HP Envy 17, i7, 32GB, OLED";HP;$1,499.99;4.4;78
280;B0X9B4D8G2;"Dell Inspiron 15 3520, i5, 16GB";Dell;$679.99;3.7;89
281;B0Y1C5E9H3;"Lenovo IdeaPad 5i, i5, 8GB, 512GB";Lenovo;$729.99;3.8;67
282;B0Z2D6F1I4;"ASUS TUF Gaming A14, Ryzen 5, RTX 3050";ASUS;$899.99;3.6;45
283;B0A3E7G2J5;"Acer Aspire 7, i7, RTX 3050, 16GB";Acer;$999.99;3.9;34
284;B0B4F8H3K6;"MSI Modern 14, i5, 8GB, 512GB";MSI;$699.99;3.5;56
285;B0C5G9I4L7;"Samsung Galaxy Book 2 360, 13.3""";Samsung;$899.99;3.8;78
286;B0D6H1J5M8;"HP 15s, Ryzen 5, 8GB, 256GB";HP;$529.99;3.3;67
287;B0E7I2K6N9;"Dell Vostro 3510, i5, 8GB, 256GB";Dell;$629.99;3.6;45
288;B0F8J3L7O1;"Lenovo ThinkBook 15, i7, 16GB, 512GB";Lenovo;$999.99;4.1;34
289;B0G9K4M8P2;"ASUS X515, i3, 4GB, 128GB";ASUS;$349.99;2.9;56
290;B0H1L5N9Q3;"Acer Extensa 14, i5, 8GB, 256GB";Acer;$499.99;3.2;23
291;B0I2M6O1R4;"MSI Modern 15, Ryzen 5, 8GB";MSI;$549.99;3.4;34
292;B0J3N7P2S5;"HP 14s, Ryzen 3, 4GB, 128GB";HP;$299.99;3.0;78
293;B0K4O8Q3T6;"Dell Inspiron 14, i3, 4GB, 128GB";Dell;$399.99;2.9;45
294;B0L5P9R4U7;"Lenovo IdeaPad 1, i3, 8GB, 256GB";Lenovo;$429.99;3.3;56
295;B0M6Q1S5V8;"ASUS Chromebook CR11, Celeron, 4GB";ASUS;$249.99;3.0;67
296;B0N7R2T6W9;"Acer Chromebook 311, Celeron, 4GB";Acer;$199.99;2.8;23
297;B0O8S3U7X1;"HP Chromebook 11, Celeron, 4GB";HP;$179.99;2.7;45
298;B0P9T4V8Y2;"Lenovo Chromebook 100e, Celeron, 4GB";Lenovo;$219.99;2.9;34
299;B0Q1U5W9Z3;"Dell Chromebook 3100, Celeron, 4GB";Dell;$209.99;2.8;56
300;B0R2V6X1A4;"ASUS Chromebook C204, Celeron, 4GB";ASUS;$229.99;2.9;12
301;B0S3W7Y2B5;"Acer Chromebook 512, Celeron, 4GB";Acer;$249.99;3.0;34
302;B0T4X8Z3C6;"HP Chromebook 14, Celeron, 4GB";HP;$259.99;3.1;45
303;B0U5Y9A4D7;"Lenovo Chromebook S330, Celeron, 4GB";Lenovo;$229.99;2.9;56
304;B0V6Z1B5E8;"Dell Chromebook 11, Celeron, 4GB";Dell;$239.99;3.0;23
305;B0W7A2C6F9;"ASUS Chromebook Flip C214, Celeron, 4GB";ASUS;$269.99;3.2;34
306;B0X8B3D7G1;"Acer Chromebook Spin 511, Celeron, 4GB";Acer;$279.99;3.1;12
307;B0Y9C4E8H2;"HP Chromebook x2, Celeron, 4GB";HP;$299.99;3.3;45
308;B0Z1D5F9I3;"Lenovo Chromebook 300e, Celeron, 4GB";Lenovo;$289.99;3.0;23
309;B0A2E6G1J4;"Dell Inspiron 14, i5, 8GB, 256GB";Dell;$599.99;3.6;67
310;B0B3F7H2K5;"ASUS VivoBook 14, Ryzen 5, 8GB";ASUS;$549.99;3.3;34
311;B0C4G8I3L6;"Acer Swift 1, Celeron, 4GB, 64GB";Acer;$299.99;3.0;78
312;B0D5H9J4M7;"HP 14, Pentium, 4GB, 64GB";HP;$269.99;2.9;45
313;B0E6I1K5N8;"Lenovo IdeaPad 3, i5, 8GB, 512GB";Lenovo;$529.99;3.5;56
314;B0F7J2L6O9;"MSI Modern 14, i3, 8GB, 256GB";MSI;$479.99;3.2;23
315;B0G8K3M7P1;"Dell Inspiron 15, i7, 16GB, 1TB";Dell;$899.99;4.1;78
316;B0H9L4N8Q2;"ASUS TUF Gaming F15, i5, RTX 3050";ASUS;$899.99;3.7;89
317;B0I1M5O9R3;"Acer Nitro 5, i7, RTX 4060, 16GB";Acer;$1,299.99;4.3;67
318;B0J2N6P1S4;"HP Pavilion Gaming 16, i7, RTX 3070";HP;$1,399.99;4.4;45
319;B0K3O7Q2T5;"Lenovo Legion 5, i7, RTX 4070, 32GB";Lenovo;$1,699.99;4.6;34
320;B0L4P8R3U6;"MSI Katana 15, i7, RTX 4060, 16GB";MSI;$1,299.99;4.2;56
321;B0M5Q9S4V7;"ASUS ROG Strix G15, i9, RTX 4090";ASUS;$2,699.99;4.9;23
322;B0N6R1T5W8;"Dell G15, Ryzen 7, RTX 3060, 16GB";Dell;$1,199.99;4.2;78
323;B0O7S2U6X9;"Acer Predator Helios 300, i7, RTX 3080";Acer;$1,899.99;4.6;45
324;B0P8T3V7Y1;"HP OMEN 15, Ryzen 9, RTX 4080, 32GB";HP;$2,199.99;4.8;34
325;B0Q9U4W8Z2;"Lenovo ThinkPad P1 Gen 5, i9, RTX A5500";Lenovo;$3,499.99;4.9;12
326;B0R1V5X9A3;"MSI Creator Z16, i9, RTX 4080, 64GB";MSI;$3,199.99;4.8;23
327;B0S2W6Y1B4;"ASUS ProArt Studiobook 16, i9, RTX 4090";ASUS;$3,699.99;4.9;34
328;B0T3X7Z2C5;"Dell Precision 7670, i9, RTX A5500";Dell;$4,199.99;4.9;12
329;B0U4Y8A3D6;"HP ZBook Studio G9, i9, RTX 4080";HP;$3,099.99;4.7;23
330;B0V5Z9B4E7;"Lenovo ThinkPad X1 Extreme Gen 4, i9";Lenovo;$2,899.99;4.8;45
331;B0W6A1C5F8;"MSI Stealth GS66, i9, RTX 4090";MSI;$3,299.99;4.9;12
332;B0X7B2D6G9;"ASUS ROG Zephyrus M16, i9, RTX 4090";ASUS;$3,199.99;4.9;34
333;B0Y8C3E7H1;"Acer ConceptD 7, i9, RTX 4080, 64GB";Acer;$3,499.99;4.8;23
334;B0Z9D4F8I2;"Dell Alienware x16, i9, RTX 4090";Dell;$3,699.99;4.9;56
335;B0A1E5G9J3;"HP OMEN 17, i9, RTX 4090, 128GB";HP;$4,499.99;4.9;12
336;B0B2F6H1K4;"Lenovo Legion Pro 7i, i9, RTX 4090";Lenovo;$3,399.99;4.9;34
337;B0C3G7I2L5;"MSI Titan GT77, i9, RTX 4090, 128GB";MSI;$4,999.99;4.9;23
338;B0D4H8J3M6;"ASUS ROG Strix Scar 18, i9, RTX 4090";ASUS;$3,899.99;4.9;45
339;B0E5I9K4N7;"Acer Predator Helios 18, i9, RTX 4090";Acer;$3,299.99;4.9;12
340;B0F6J1L5O8;"Dell Inspiron 16, i9, RTX 4070, 32GB";Dell;$2,199.99;4.6;34
341;B0G7K2M6P9;"HP Spectre 16, i9, RTX 4080, 32GB";HP;$2,799.99;4.8;56
342;B0H8L3N7Q1;"Lenovo Yoga 9i, i9, 32GB, 4K OLED";Lenovo;$2,299.99;4.7;23
343;B0I9M4O8R2;"ASUS ZenBook Pro 16X, i9, RTX 4080";ASUS;$2,699.99;4.8;45
344;B0J1N5P9S3;"MSI Prestige 16, i9, RTX 4070, 32GB";MSI;$2,399.99;4.6;12
345;B0K2O6Q1T4;"Acer Swift Edge 16, Ryzen 9, 32GB";Acer;$1,899.99;4.4;34
346;B0L3P7R2U5;"Samsung Galaxy Book 3 Ultra, i9, 32GB";Samsung;$2,199.99;4.8;56
347;B0M4Q8S3V6;"Dell XPS 17, i9, 64GB, 4K, RTX 4090";Dell;$3,899.99;4.9;23
348;B0N5R9T4W7;"HP Elite Dragonfly G3, i7, 32GB, 5G";HP;$2,499.99;4.6;12
349;B0O6S1U5X8;"Lenovo ThinkPad Z16, Ryzen 9, 32GB";Lenovo;$2,199.99;4.5;34
350;B0P7T2V6Y9;"ASUS VivoBook Pro 16X, i9, RTX 4090";ASUS;$3,099.99;4.9;45
351;B0Q8U3W7Z1;"MSI Summit E16 Flip, i7, RTX 4070";MSI;$2,099.99;4.6;12
352;B0R9V4X8A2;"Acer TravelMate P6, i7, 32GB, 1TB";Acer;$1,899.99;4.3;23
353;B0S1W5Y9B3;"Dell Latitude 9430, i7, 32GB, 5G";Dell;$2,699.99;4.8;34
354;B0T2X6Z1C4;"HP ProBook 650 G9, i5, 16GB";HP;$1,099.99;4.0;56
355;B0U3Y7A2D5;"Lenovo ThinkBook 16, i7, 16GB, 1TB";Lenovo;$1,299.99;4.2;23
356;B0V4Z8B3E6;"ASUS ExpertBook B6, i9, 64GB, RTX A2000";ASUS;$3,199.99;4.8;12
357;B0W5A9C4F7;"MSI Creator M17, i9, RTX 4090, 64GB";MSI;$3,499.99;4.9;34
358;B0X6B1D5G8;"Acer Predator Triton 500, i9, RTX 4080";Acer;$2,899.99;4.7;23
359;B0Y7C2E6H9;"HP OMEN 16, i9, RTX 4090, 64GB";HP;$3,199.99;4.9;45
360;B0Z8D3F7I1;"Dell G16, i9, RTX 4090, 64GB";Dell;$2,999.99;4.9;12
361;B0A9E4G8J2;"Lenovo Legion 7, i9, RTX 4090, 64GB";Lenovo;$3,299.99;4.9;34
362;B0B1F5H9K3;"ASUS ROG Zephyrus Duo 16, i9, RTX 4090";ASUS;$4,199.99;4.9;23
363;B0C2G6I1L4;"MSI Titan GT77, i9, RTX 4090, 128GB";MSI;$5,499.99;4.9;12
364;B0D3H7J2M5;"Acer Predator Helios 700, i9, RTX 4090";Acer;$3,999.99;4.9;34
365;B0E4I8K3N6;"HP ZBook Fury 17, i9, RTX 5000 Ada";HP;$4,999.99;4.9;12
366;B0F5J9L4O7;"Dell Precision 7780, i9, RTX A5500";Dell;$4,699.99;4.9;23
367;B0G6K1M5P8;"Lenovo ThinkPad P16, i9, RTX A5500";Lenovo;$4,399.99;4.9;12
368;B0H7L2N6Q9;"ASUS ProArt Studiobook 17, i9, RTX 4090";ASUS;$3,899.99;4.9;34
369;B0I8M3O7R1;"MSI CreatorPro X17, i9, RTX A5500";MSI;$4,499.99;4.9;12
370;B0J9N4P8S2;"Acer ConceptD 500, i9, RTX 4080";Acer;$3,299.99;4.7;23
371;B0K1O5Q9T3;"HP EliteBook 860 G10, i7, 32GB";HP;$1,899.99;4.4;45
372;B0L2P6R1U4;"Dell Latitude 5540, i7, 16GB, 512GB";Dell;$1,599.99;4.2;34
373;B0M3Q7S2V5;"Lenovo ThinkPad T16, i7, 32GB, 1TB";Lenovo;$1,999.99;4.6;56
374;B0N4R8T3W6;"ASUS ZenBook S 13, i7, 16GB, OLED";ASUS;$1,499.99;4.4;23
375;B0O5S9U4X7;"MSI Modern 15, i7, 32GB, 1TB";MSI;$1,299.99;4.1;12
376;B0P6T1V5Y8;"Acer Swift 3, i5, 8GB, 256GB";Acer;$699.99;3.5;45
377;B0Q7U2W6Z9;"HP 15, i3, 8GB, 256GB";HP;$449.99;3.2;34
378;B0R8V3X7A1;"Dell Inspiron 15, i3, 4GB, 128GB";Dell;$349.99;3.0;56
379;B0S9W4Y8B2;"Lenovo IdeaPad 3, Ryzen 3, 4GB";Lenovo;$329.99;3.0;23
380;B0T1X5Z9C3;"ASUS VivoBook 15, i3, 8GB, 256GB";ASUS;$429.99;3.2;45
381;B0U2Y6A1D4;"Acer Aspire 3, i3, 8GB, 256GB";Acer;$389.99;3.1;12
382;B0V3Z7B2E5;"MSI Modern 14, i3, 4GB, 128GB";MSI;$379.99;3.0;34
383;B0W4A8C3F6;"HP 14, i3, 4GB, 128GB";HP;$329.99;2.9;56
384;B0X5B9D4G7;"Dell Inspiron 14, Celeron, 4GB";Dell;$299.99;2.8;23
385;B0Y6C1E5H8;"Lenovo IdeaPad 1, Pentium, 4GB";Lenovo;$249.99;2.7;45
386;B0Z7D2F6I9;"ASUS E410, Celeron, 4GB, 64GB";ASUS;$229.99;2.8;34
387;B0A8E3G7J1;"Acer Chromebook 314, Celeron, 4GB";Acer;$219.99;2.7;56
388;B0B9F4H8K2;"HP Chromebook 11a, Celeron, 4GB";HP;$199.99;2.6;12
389;B0C1G5I9L3;"Dell Chromebook 3100, Celeron, 4GB";Dell;$209.99;2.7;23
390;B0D2H6J1M4;"Lenovo Chromebook 100e, Celeron, 4GB";Lenovo;$199.99;2.6;45
391;B0E3I7K2N5;"ASUS Chromebook C223, Celeron, 4GB";ASUS;$189.99;2.5;34
392;B0F4J8L3O6;"Acer Chromebook 311, Celeron, 4GB";Acer;$179.99;2.5;56
393;B0G5K9M4P7;"HP Chromebook 14, Celeron, 4GB";HP;$229.99;2.8;23
394;B0H6L1N5Q8;"Dell Chromebook 11, Celeron, 4GB";Dell;$239.99;2.9;12
395;B0I7M2O6R9;"Lenovo Chromebook S330, Celeron, 4GB";Lenovo;$219.99;2.7;34
396;B0J8N3P7S1;"ASUS Chromebook Flip C214, Celeron, 4GB";ASUS;$249.99;3.0;45
397;B0K9O4Q8T2;"Acer Chromebook Spin 311, Celeron, 4GB";Acer;$259.99;3.1;56
398;B0L1P5R9U3;"HP Chromebook x360 14a, Celeron, 4GB";HP;$279.99;3.2;23
399;B0M2Q6S1V4;"Dell Chromebook 3400, Celeron, 4GB";Dell;$269.99;3.1;12
400;B0N3R7T2W5;"Lenovo Chromebook 300e, Celeron, 4GB";Lenovo;$259.99;3.0;34
401;B0O4S8U3X6;"ASUS Chromebook C425, Celeron, 4GB";ASUS;$289.99;3.3;45
402;B0P5T9V4Y7;"Acer Chromebook 712, Celeron, 4GB";Acer;$299.99;3.4;56
403;B0Q6U1W5Z8;"HP Chromebook 15, Celeron, 4GB";HP;$309.99;3.5;23
404;B0R7V2X6A9;"Dell Chromebook 3110, Celeron, 4GB";Dell;$279.99;3.2;12
405;B0S8W3Y7B1;"Lenovo Chromebook Duet 3, Celeron, 4GB";Lenovo;$299.99;3.4;34
406;B0T9X4Z8C2;"ASUS Chromebook CM14, Celeron, 4GB";ASUS;$269.99;3.1;45
407;B0U1Y5A9D3;"Acer Chromebook 514, Celeron, 4GB";Acer;$289.99;3.3;56
408;B0V2Z6B1E4;"HP Chromebook 11, Celeron, 4GB";HP;$199.99;2.6;23
409;B0W3A7C2F5;"Dell Chromebook 3100, Celeron, 4GB";Dell;$219.99;2.7;12
410;B0X4B8D3G6;"Lenovo Chromebook 100e, Celeron, 4GB";Lenovo;$209.99;2.6;34
411;B0Y5C9E4H7;"ASUS Chromebook C204, Celeron, 4GB";ASUS;$229.99;2.8;45
412;B0Z6D1F5I8;"Acer Chromebook 311, Celeron, 4GB";Acer;$189.99;2.5;56
413;B0A7E2G6J9;"HP Chromebook 14, Celeron, 4GB";HP;$239.99;2.9;23
414;B0B8F3H7K1;"Dell Chromebook 11, Celeron, 4GB";Dell;$249.99;3.0;12
415;B0C9G4I8L2;"Lenovo Chromebook S330, Celeron, 4GB";Lenovo;$229.99;2.8;34
416;B0D1H5J9M3;"ASUS Chromebook Flip C214, Celeron, 4GB";ASUS;$259.99;3.1;45
417;B0E2I6K1N4;"Acer Chromebook Spin 311, Celeron, 4GB";Acer;$269.99;3.2;56
418;B0F3J7L2O5;"HP Chromebook x360 14a, Celeron, 4GB";HP;$289.99;3.3;23
419;B0G4K8M3P6;"Dell Chromebook 3400, Celeron, 4GB";Dell;$279.99;3.2;12
420;B0H5L9N4Q7;"Lenovo Chromebook 300e, Celeron, 4GB";Lenovo;$269.99;3.1;34
421;B0I6M1O5R8;"ASUS Chromebook C425, Celeron, 4GB";ASUS;$299.99;3.4;45
422;B0J7N2P6S9;"Acer Chromebook 712, Celeron, 4GB";Acer;$309.99;3.5;56
423;B0K8O3Q7T1;"HP Chromebook 15, Celeron, 4GB";HP;$319.99;3.6;23
424;B0L9P4R8U2;"Dell Chromebook 3110, Celeron, 4GB";Dell;$289.99;3.3;12
425;B0M1Q5S9V3;"Lenovo Chromebook Duet 3, Celeron, 4GB";Lenovo;$309.99;3.5;34
426;B0N2R6T1W4;"ASUS Chromebook CM14, Celeron, 4GB";ASUS;$279.99;3.2;45
427;B0O3S7U2X5;"Acer Chromebook 514, Celeron, 4GB";Acer;$299.99;3.4;56
428;B0P4T8V3Y6;"HP Chromebook 11, Celeron, 4GB";HP;$209.99;2.7;23
429;B0Q5U9W4Z7;"Dell Chromebook 3100, Celeron, 4GB";Dell;$229.99;2.8;12
430;B0R6V1X5A8;"Lenovo Chromebook 100e, Celeron, 4GB";Lenovo;$219.99;2.7;34
431;B0S7W2Y6B9;"ASUS Chromebook C204, Celeron, 4GB";ASUS;$239.99;2.9;45
432;B0T8X3Z7C1;"Acer Chromebook 311, Celeron, 4GB";Acer;$199.99;2.6;56
433;B0U9Y4A8D2;"HP Chromebook 14, Celeron, 4GB";HP;$249.99;3.0;23
434;B0V1Z5B9E3;"Dell Chromebook 11, Celeron, 4GB";Dell;$259.99;3.1;12
435;B0W2A6C1F4;"Lenovo Chromebook S330, Celeron, 4GB";Lenovo;$239.99;2.9;34
436;B0X3B7D2G5;"ASUS Chromebook Flip C214, Celeron, 4GB";ASUS;$269.99;3.2;45
437;B0Y4C8E3H6;"Acer Chromebook Spin 311, Celeron, 4GB";Acer;$279.99;3.2;56
438;B0Z5D9F4I7;"HP Chromebook x360 14a, Celeron, 4GB";HP;$299.99;3.4;23
439;B0A6E1G5J8;"Dell Chromebook 3400, Celeron, 4GB";Dell;$289.99;3.3;12
440;B0B7F2H6K9;"Lenovo Chromebook 300e, Celeron, 4GB";Lenovo;$279.99;3.2;34
441;B0C8G3I7L1;"ASUS Chromebook C425, Celeron, 4GB";ASUS;$309.99;3.5;45
442;B0D9H4J8M2;"Acer Chromebook 712, Celeron, 4GB";Acer;$319.99;3.6;56
443;B0E1I5K9N3;"HP Chromebook 15, Celeron, 4GB";HP;$329.99;3.7;23
444;B0F2J6L1O4;"Dell Chromebook 3110, Celeron, 4GB";Dell;$299.99;3.4;12
445;B0G3K7M2P5;"Lenovo Chromebook Duet 3, Celeron, 4GB";Lenovo;$319.99;3.6;34
446;B0H4L8N3Q6;"ASUS Chromebook CM14, Celeron, 4GB";ASUS;$289.99;3.3;45
447;B0I5M9O4R7;"Acer Chromebook 514, Celeron, 4GB";Acer;$309.99;3.5;56
448;B0J6N1P5S8;"HP Chromebook 11, Celeron, 4GB";HP;$219.99;2.7;23
449;B0K7O2Q6T9;"Dell Chromebook 3100, Celeron, 4GB";Dell;$239.99;2.9;12
450;B0L8P3R7U1;"Lenovo Chromebook 100e, Celeron, 4GB";Lenovo;$229.99;2.8;34
451;B0M9Q4S8V2;"ASUS Chromebook C204, Celeron, 4GB";ASUS;$249.99;3.0;45
452;B0N1R5T9W3;"Acer Chromebook 311, Celeron, 4GB";Acer;$209.99;2.7;56
453;B0O2S6U1X4;"HP Chromebook 14, Celeron, 4GB";HP;$259.99;3.1;23
454;B0P3T7V2Y5;"Dell Chromebook 11, Celeron, 4GB";Dell;$269.99;3.2;12
455;B0Q4U8W3Z6;"Lenovo Chromebook S330, Celeron, 4GB";Lenovo;$249.99;3.0;34
456;B0R5V9X4A7;"ASUS Chromebook Flip C214, Celeron, 4GB";ASUS;$279.99;3.2;45
457;B0S6W1Y5B8;"Acer Chromebook Spin 311, Celeron, 4GB";Acer;$289.99;3.3;56
458;B0T7X2Z6C9;"HP Chromebook x360 14a, Celeron, 4GB";HP;$309.99;3.5;23
459;B0U8Y3A7D1;"Dell Chromebook 3400, Celeron, 4GB";Dell;$299.99;3.4;12
460;B0V9Z4B8E2;"Lenovo Chromebook 300e, Celeron, 4GB";Lenovo;$289.99;3.3;34
461;B0W1A5C9F3;"ASUS Chromebook C425, Celeron, 4GB";ASUS;$319.99;3.6;45
462;B0X2B6D1G4;"Acer Chromebook 712, Celeron, 4GB";Acer;$329.99;3.7;56
463;B0Y3C7E2H5;"HP Chromebook 15, Celeron, 4GB";HP;$339.99;3.8;23
464;B0Z4D8F3I6;"Dell Chromebook 3110, Celeron, 4GB";Dell;$309.99;3.5;12
465;B0A5E9G4J7;"Lenovo Chromebook Duet 3, Celeron, 4GB";Lenovo;$329.99;3.7;34
466;B0B6F1H5K8;"ASUS Chromebook CM14, Celeron, 4GB";ASUS;$299.99;3.4;45
467;B0C7G2I6L9;"Acer Chromebook 514, Celeron, 4GB";Acer;$319.99;3.6;56
468;B0D8H3J7M1;"HP Chromebook 11, Celeron, 4GB";HP;$229.99;2.8;23
469;B0E9I4K8N2;"Dell Chromebook 3100, Celeron, 4GB";Dell;$249.99;3.0;12
470;B0F1J5L9O3;"Lenovo Chromebook 100e, Celeron, 4GB";Lenovo;$239.99;2.9;34
471;B0G2K6M1P4;"ASUS Chromebook C204, Celeron, 4GB";ASUS;$259.99;3.1;45
472;B0H3L7N2Q5;"Acer Chromebook 311, Celeron, 4GB";Acer;$219.99;2.7;56
473;B0I4M8O3R6;"HP Chromebook 14, Celeron, 4GB";HP;$269.99;3.2;23
474;B0J5N9P4S7;"Dell Chromebook 11, Celeron, 4GB";Dell;$279.99;3.2;12
475;B0K6O1Q5T8;"Lenovo Chromebook S330, Celeron, 4GB";Lenovo;$259.99;3.1;34
476;B0L7P2R6U9;"ASUS Chromebook Flip C214, Celeron, 4GB";ASUS;$289.99;3.3;45
477;B0M8Q3S7V1;"Acer Chromebook Spin 311, Celeron, 4GB";Acer;$299.99;3.4;56
478;B0N9R4T8W2;"HP Chromebook x360 14a, Celeron, 4GB";HP;$319.99;3.6;23
479;B0O1S5U9X3;"Dell Chromebook 3400, Celeron, 4GB";Dell;$309.99;3.5;12
480;B0P2T6V1Y4;"Lenovo Chromebook 300e, Celeron, 4GB";Lenovo;$299.99;3.4;34
481;B0Q3U7W2Z5;"ASUS Chromebook C425, Celeron, 4GB";ASUS;$329.99;3.7;45
482;B0R4V8X3A6;"Acer Chromebook 712, Celeron, 4GB";Acer;$339.99;3.8;56
483;B0S5W9Y4B7;"HP Chromebook 15, Celeron, 4GB";HP;$349.99;3.9;23
484;B0T6X1Z5C8;"Dell Chromebook 3110, Celeron, 4GB";Dell;$319.99;3.6;12
485;B0U7Y2A6D9;"Lenovo Chromebook Duet 3, Celeron, 4GB";Lenovo;$339.99;3.8;34
486;B0V8Z3B7E1;"ASUS Chromebook CM14, Celeron, 4GB";ASUS;$309.99;3.5;45
487;B0W9A4C8F2;"Acer Chromebook 514, Celeron, 4GB";Acer;$329.99;3.7;56
488;B0X1B5D9G3;"HP Chromebook 11, Celeron, 4GB";HP;$239.99;2.9;23
489;B0Y2C6E1H4;"Dell Chromebook 3100, Celeron, 4GB";Dell;$259.99;3.1;12
490;B0Z3D7F2I5;"Lenovo Chromebook 100e, Celeron, 4GB";Lenovo;$249.99;3.0;34
491;B0A4E8G3J6;"ASUS Chromebook C204, Celeron, 4GB";ASUS;$269.99;3.2;45
492;B0B5F9H4K7;"Acer Chromebook 311, Celeron, 4GB";Acer;$229.99;2.8;56
493;B0C6G1I5L8;"HP Chromebook 14, Celeron, 4GB";HP;$279.99;3.2;23
494;B0D7H2J6M9;"Dell Chromebook 11, Celeron, 4GB";Dell;$289.99;3.3;12
495;B0E8I3K7N1;"Lenovo Chromebook S330, Celeron, 4GB";Lenovo;$269.99;3.2;34
496;B0F9J4L8O2;"ASUS Chromebook Flip C214, Celeron, 4GB";ASUS;$299.99;3.4;45
497;B0G1K5M9P3;"Acer Chromebook Spin 311, Celeron, 4GB";Acer;$309.99;3.5;56
498;B0H2L6N1Q4;"HP Chromebook x360 14a, Celeron, 4GB";HP;$329.99;3.7;23
499;B0I3M7O2R5;"Dell Chromebook 3400, Celeron, 4GB";Dell;$319.99;3.6;12
500;B0J4N8P3S6;"Lenovo Chromebook 300e, Celeron, 4GB";Lenovo;$309.99;3.5;34
